Company,Year,TotalRevenue,GrossProfit,EBITDA,NetIncome,R&DExpense,MarketCap
EA,3/31/2020,4168000000,3039000000,1600000000,5537000000,1559000000,36740759552
EA,3/31/2021,4135000000,837000000,1227000000,5629000000,1778000000,36740759552
EA,3/31/2022,5132000000,789000000,1615000000,6991000000,2186000000,36740759552
EA,3/31/2023,5634000000,802000000,1979000000,7426000000,2328000000,36740759552
UBSFY,3/31/2020,1341754000,-125624000,558993000,1594831000,720829000,4111907072
UBSFY,3/31/2021,1898100000,103100000,915000000,2223800000,827100000,4111907072
UBSFY,3/31/2022,1855500000,79100000,889900000,2125300000,822500000,4111907072
UBSFY,3/31/2023,1597800000,-494200000,520100000,1814300000,1440400000,4111907072
TTWO,3/31/2020,1546520000,404459000,661893000,3088970000,296398000,26585030656
TTWO,3/31/2021,1837687000,588886000,861925000,3372772000,317311000,26585030656
TTWO,3/31/2022,1969399000,418022000,753736000,3504800000,406566000,26585030656
TTWO,3/31/2023,2285300000,-1124700000,700100000,5349900000,892500000,26585030656
RBLX,12/31/2019,386012000,-70968000,-48776000,508393000,107095000,23789330432
RBLX,12/31/2020,683987000,-253254000,-222329000,923885000,201433000,23789330432
RBLX,12/31/2021,1422311000,-491651000,-421180000,1919181000,533207000,23789330432
RBLX,12/31/2022,1677394000,-924366000,-760603000,2225052000,873477000,23789330432
ATVI,12/31/2019,6489000000,4395000000,2160000000,1503000000,998000000,74280000000
ATVI,12/31/2020,8086000000,5826000000,3180000000,2197000000,1150000000,74280000000
ATVI,12/31/2021,8803000000,6486000000,3699000000,2699000000,1337000000,74280000000
ATVI,12/31/2022,7528000000,5306000000,1989000000,1513000000,1421000000,74280000000
